,finnish,russian
1951,Turvakamerat eivät toimi.,Кто этот парень?
1952,"Koska anti - D - immunoglobuliiniruiske on tehty verestä, olisiko se, että kristitty nainen ottaisi tämän ruiskeen, ristiriidassa Raamatun käskyn kanssa karttaa verta?","Помнишь, что случилось когда ты вела машину на парковке?"
1953,Tuon repäisyn jälkeen olemme sinulle velkaa ainakin kyydin kotiin. Raahaa luusi Lucylle.,Я вернулся.
1954,Viis veisaa baarineidosta odottaessaan pääesiintyjää!,Н-ничего. Оцепенели от страха.
1955,Olet vähän pakkomielteinen.,"Если они окажутся заперты вместе в полнолуние, то раздерут друг друга на части."
1956,"Tarkistin vain sähköpostini ja katsoin, olisiko Alexis soittanut.","Но я знаю, счастье не приходит с вещами даже с вещами 20-го столетия."
1957,Miksi nöyryys voi auttaa meitä välttämään virheitä?,"О, Эрл ты как Санта, правда без странной зацикленности на детях"
1958,- En nähnyt sinua tänään.,Разве об этом нет никаких новостей?
1959,Niin.,"Питер, Куагмир, я сегодня пригласил вас сюда, чтобы наконец покончить с этим."
1960,Miten en voisi tehdä sitä?,У нас есть страховка.
1961,"Joten, mitä mietit?","Так, ладно, кто заказал стриптизершу?"
1962,Minä tein töitä tapauksen johdosta.,За убийство собственной бабушки? !
1963,- Minulla on sinulle asiaa.,Проигнорировал сказанное мною раньше.
1964,Mitä sanot?,"Она стала его ""кубком южного тепла"". ""Где бусы пузырьков бегут до дна""."
1965,"Maeby sai lukijalta raportin, josta tulisi hänen esseensä.",Опять этот клоун.
1966,- Joskus sitä täytyy avittaa.,Потерпело ли христианство крах?
1967,"Olet Wisconsinista. - En, vaan Kansasista.",Откройте дверь!
1968,"Haluan, että pikkuveljeni on onnellinen.","Я засужу каждого, кто приложил руку к этому фильму."
1969,Yllätä minut.,"Любимая, выпей со мной."
1970,Sitä pitää kysyä häneltä.,"Эй, я рассказал тебе об этом по секрету."
1971,Gil kuulemma kuuntelee sinua.,В ЮЖНО - КОРЕЙСКОМ городе Пусан можно увидеть необычный народный танец.
1972,Miten aiotte onnistua siinä?,Я в Руссо.
1973,- Sinun huolenaiheisiisi.,Люди не могут просто раствориться в воздухе.
1974,"- Yllättävää, ettemme ole törmänneet.","Ненавижу худых людей, потому что они не понимают проблем ожирения."
1975,"Jos avaat salkun, helvetti pääsee valloilleen.",Позволь мне объяснить тебе вот это.
1976,Mistä miehenne pitää?,- Ну и какой план? - Итак.
1977,Mistä se kertoo?,Выключайся!
1978,- Sitä tarvitaan 18: lle.,"Я хотел купить две, чтобы они друг другу компанию составляли, но женщина предупредила меня, что придет день, когда одна богомолка съест другую."
1979,Mirkovichin ja Cibellin kenttäraportit.,"Взгляни-ка – это же Милс. Я подумал, может нам заглянуть в какой-нибудь бар."
1980,- En sitten makaa intiaanien kanssa.,"Как только увидишь зубастого сукиного сына, ты нацелишься и выстрелишь."
1981,Se on Hänen luomuksensa.,- Серьезно?
1982,Hänellä on tyttöystävä.,Ладно.
1983,Tuntee hän kipua.,"Пока же, тебе нужно держаться подальше от этой девушки."
1984,Kuuntelimme lauluamme käsikkäin.,Так что забирай на хуй своих двойников и уёбывай домой.
1985,- Voinko auttaa?,- Ничего не изменить.
1986,Frank!,"Миссис Хайден, мы с вами разговаривали по телефону."
1987,Tämä on syrjässä.,Почему?
1988,En koskaan tuntenut isääni.,- Кого они ищут?
1989,Se on... totta.,"Семья, доходов которой не хватает на оплату аренды квартиры или на расходы по оплате собственной квартиры, может подать заявление в Kela на предоставление общего пособия на проживание."
1990,Ehkä ei pitäisi valittaa.,Ребенок и уход за ним Спок Спустя двенадцать лет
1991,"Mutta kun pöly laskeutuu, palataan oikeiden uutisten pariin.",А этот идиот Роули забыл заполнить ордер.
1992,"Eräs äskettäin tehty tutkimus, joka julkaistiin The New England Journal of Medicine - aikakausjulkaisussa, osoittaa, että joidenkin laihduttajien loputtomalta tuntuva kierre, painonpudottaminen ja painonnousu, saattaa johtaa vakaviin terveyshaittoihin ja jopa kuolemaan.",Абсолютный лидер на рынке это It's All Good Gardein Protein.
1993,Hyvä on. Kiitos avustanne.,Вы учились в колледже Херст?
1994,Tuon videon Wirth haki CIA:sta.,"Знаете, она была очень красива."
1995,Kiitos.,"Мне все равно, что это - это еда."
1996,Kaikille ei riitä leivänpaahtimien myynti.,- Где ты родился? - Перекрестный огонь урагана.
1997,"Minut lähetettiin tehtävälle, josta minun ei pitänyt palata.",Я видел. Я видел как это случилось.
1998,Joo. –Kun laulan näin.,У него были ключи? У него были ключи.
1999,- Antakaa minulle sitten voima viedä teidät jonnekin muualle. Mihin tahansa muualle!,Проблемы в браке.
2000,Ennen kuin Parker Scavon nappulaliigapeli oli alkanut...,Что?
2001,Nyt paloviranomaiset ovat puoli vuotta tyytyväisiä.,"- Не солдаты, а зеленые новобранцы, гроша ломаного не стоящие."
2002,Neljän onnellisen vuoden jälkeen tiedän valinneeni oikein. ”,"Нет, прекрати. Согласен, ты права."
2003,Neuvostolla on sormet kaikkialla.,"Мама, платья по такому случаю в магазинах не покупают."
2004,Kuka hän on?,"Весьма сентиментально, но..."
2005,Tämän koettelemuksen jälkeen sinun on pystyttävä siihen.,В студии?
2006,Mutta se ei olisi voinut tapahtua ellei...,Традиция!
2007,"Siis, että heovat vain ystäviä.",Спасибо.
2008,- Tulppaanit.,Мексика.
2009,Ehkä sitten voimme avioitua.,"Потом, зажми нос, открой рот и выдыхай."
2010,Missä ovat valkoiset vaeltajat? Missä tulivuori ja taikasormus heitettäväksi?,Мам-пять.
2011,He varastivat rahat.,"Надеюсь, однажды ты, как и я, найдёшь свою семью."
2012,Teidät vapautetaan eikä syytteitä nosteta.,"Я думал, он шутит."
2013,Mitä se ihminen teki...,"ИНДУСТРИАЛЬНЫЙ КОМПЛЕКС ""ЗЕВС"""
2014,Tai palaverissa.,"Я должен ехать, Лори, привезти её домой."
2015,"Tiedätkö, mitä hypotermia tekee?","Это займет три минуты. Будем смотреть, что у нас получилось?"
2016,Byzantiumin putoaminen ei ollut onnettomuus. Se oli pelastusretki - enkeleiden pelastamiseksi.,Он выглядит нормальным на этой фотографии.
2017,- Kiva jutella kanssasi.,"Вот, что случилось."
2018,Oikea äitini siis.,"Большинство жертв знают своих насильников, так что, если Адриана с кем-то встречалась..."
2019,"Minulla ei ole asetta, joten... Tehkää kuten haluatte.","Ты думал о ней, так? О том, как ее защитить."
2020,- Voi luoja!,Так же.
2021,Heidän tuellaan kukaan ei voisi vastustaa meitä.,Унижение - это хорошо.
2022,"Sen jälkeen ne koneet, joiden polttoaine on vähissä, eivät enää kiertele.",20 минут - это мало.
2023,Siitä on niin kauan...,"Когда я душил его, я всунул свой большой палец в него глазное отверстие и вытащил его глаз."
2024,Oletko menettänyt järkesi?,Что тебе нужно? Заходи в мой кабинет.
2025,Sellaisen vähätteleminen olisi omahyväistä ja suvaitsematonta.,"- Нам нужно, чтобы это место функционировало для нашей семьи."
2026,Kaikki on siinä laitteessa.,"Он видит несостоятельность человеческих правительств, и его надежное Слово, Библия, показывает, что вскоре он заменит их своим правительством."
2027,Koeta kestää. - Lily ei ole sinua varten.,"После этих слов, он представил ряд коротких, полезных речей."
2028,Kirjoitukset eivät tuottaneet pettymystä!,- Ага.
2029,- Meillä on isompia ongelmia.,"— Нет, двадцать. — Чёрт, а?"
2030,- Ole kiltti.,"Доброе утро, жители Нью-Йорка."
2031,- Tilasin mysliä Oregonista.,Добрый вечер (Hyvää iltaa!)
2032,Heippa.,Он испытывал её?
2033,- Tee vaihto.,"У меня нет проблем с тобой, Тэнди."
2034,Yksi lausunto venyi kamalasti.,"Поверь мне, дорогой, я не дам тебе уйти в этот раз."
2035,Työmme ovat vaativia.,Альберто у нас специалист по захоронению.
2036,"Minullakin on ikävä sinua, Rog.",Моей матери.
2037,Mikset halua selvittää asiaa?,"Не у Макферсона. Но если бы даже он у него был, он не стал бы делать это ради денег."
2038,- Tiedän.,"Потому что жизнь, длинная или короткая, никогда неидеальна. Я имела в виду всего лишь.."
2039,Tulkaa!,"Все ребята из школы мечтали обо мне, когда онанировали."
2040,- Se on hänen oma kielensä.,От моей жены? Только что передала на парковке.
2041,Apua ja tukea maahanmuuttajanaisillesuomi _ englanti _ venäjä _ ranska _ somali _ arabia _ kurdi _ thai,"Эй, бабушка, открывайте!"
2042,"Hra Sands, täällä on enemmän SWAT-miehiä kuin voit laskea. Pyydän viimeisen kerran.",Это понятно?
2043,Kashani on hyvä taktikko.,"Айрис - первая девушка, с которой я живу, так что это все очень ново и здорово."
2044,Onko se järkevää?,"Друзья, это не просто серьги с перидотом и крапонитом."
2045,Aikasi on tullut.,Мы полюбили друг друга.
2046,Minun on oltava oikeudessa klo 13.30.,"Хочу знать все, до мелочей."
2047,Meidän on oltava häntä fiksumpia.,Откройте.
2048,"Vaimoni alkoi tulla tajuihinsa. Yritin sulkea kaasun, mutta avain ei ollut paikallaan.",А она?
2049,Tässä on kämppikseni Renee.,"Да,Мэм! Отправлю это прямиком в лабораторию."
2050,- Peter-setä!,"Гэбриел Вонн, один из самых прославленных американских солдат."
2051,Ehkä voitkin.,Брайан в Японии Приятная атмосфера
2052,Avainkorttijärjestelmä on pyyhitty.,-Тэрренс. Послушай меня.
2053,- Selvä.,Подкинь это дело ФБР.
2054,Ei nyt!,"Пока мы с Ричи не видели, он использовал оборудование, чтобы снимать порно для Адэль."
2055,"Ei millään pahalla, mutta minulle ei ole ollut hyötyä miehistä johtajina.",Это весело и воспитывает характер.
2056,He eivät salli sitä.,"Мне.. кажется, у нее неприятности"
2057,"Kun hän on viisikymmentä, täytyy varoa sydänkohtauksia ja venäläisiä prostituoituja.",Мужество...
2058,Panit tietenkin merkille avaussiirtoni perinteisyyden.,Какие благословения нам приносит незаслуженная доброта Иеговы?
2059,Vaihtoehtoja oli kolme:,Вы ошиблись.
2060,"Ei, mutta bemari on etupihalla.","Продолжай, расскажи нам, какие прекрасные люди тут жили, пока мы все не испортили!"
2061,- Ymmärretty.,"Стратегические планы, военные объекты, всё, что сможем достать."
2062,"Omituista, että vaikka ajatus kävi mielessäni, - että tämä Etienne De Souza ei ehkä olisi Etienne De Souza, - niin Poirotille ei koskaan tullut mieleen, että Hattie ei olisi Hattie.",Давайте проверим.
2063,"Aikaa työlle, aikaa itselle","Знаешь, как усердно мы пытались спасти его от себя самого?"
2064,Ei meillä tule olemaan hätää.,"Это обещание, что ты дал матери твоего ребёнка."
2065,Jos olette sisäisestä tutkinnasta - niin tuolla kaverilla oli partateriä suussaan.,"Наш свидетель неохотно идет навстречу, но когда они увидели, что я ухожу, это его подтолкнуло."
2066,Alue on levotonta.,"Если я буду насиловать своего сына, Вначале я его поцелую."
2067,"Myötätunto ei pue sinua, Olivia.",Ты забыла это вчера у меня дома
2068,"Olen nyt palvelualalla, joten onneni on sinusta kiinni.","У нее оказался с собой выпуск от 8 сентября 2003 года, и в нем как раз была статья « Удивительная встреча с серыми китами »."
2069,Kostan sen rintakommentin.,Извини. - Ты в порядке?
2070,Miten teen sen?,"Или это была ложь, как и тот мерзкий зверь снаружи, выдающий себя за моего отца, восставшего из мертвых?"
2071,-Mitä?,"Они стали придумывать декорации и пригласительные, обсуждать платья, что должны одеть их отцы, и в чём им нельзя приходить. (Смех)"
2072,Taikasormeni voittavat Googlen.,"Извини, Риггс, у меня только десятка."
2073,Hän halusi yhteistyökumppanin.,"Не строй из себя крутого, Винц!"
2074,Enintään 47 tuntia.,"Мы им говорим, почему, и они тогда:"
2075,"Na'Vi hävisi yhden pelin EHOMEa vastaan, ja tilanne on 1-1.",- Я пыталась предупредить вас.
2076,Menen Hannan luokse.,"Должно быть, Рубен хранил это в секрете."
2077,"Minun pitää laulaa, koska Jake häipyi hienon pimunsa kanssa, se runkkari. Se runkkari häipyi.",- Можете принять Нарнский корабль?
2078,Onko Boris todellakin nero?,Помнишь? Это касается Клэр.
2079,Se oli isäni.,"Видишь, это всё работа... компьютеров."
2080,- Mitä ajattelet?,"Да ладно, с чего ты взял, что он здесь был?"
2081,Etkö pidä minusta?,Я хочу использовать этот шанс.
2082,VIIDES PÄIVÄ YUTAY-JOKI,"Мы не связаны с этим миром, а значит и с самими собой."
2083,Tämä ei ole mikään ihmisten viattomista teoista johtuva vedenpaisumus.,"Что ж, мне определённо самой было приятно. Я думала, будет забавно обсудить, что здесь настоящее, а что было добавлено со временем."
2084,-Älä lyö häntä!,Что ты предлагаешь?
2085,Israel huutaa Jehovan puoleen,- Без труда не выловишь рыбку...
2086,Minä näin Annen harjoittavan noituutta omin silmin.,"Я достаточно помогал им, но теперь с меня хватит. Ты понял?"
2087,NUORIPARI pakeni yön pimeyden turvin.,"Скажу, что нам пора выдвигаться, пока моя прическа держится и подмышки сухие."
2088,Ehkä hän on hirttäytynyt tai työntänyt päänsä uuniin.,"Я не сбегаю, как тать в ночи."
2089,Valtava juttu.,Ладно. Тут нужно пару нано-нитей для швов.
2090,"Yhdysvalloissa ” kasvava määrä ’ tavallisia ’ poikia ja tyttöjä kuolee tai vammautuu uusissa leikeissä, jotka ovat omituisia ja vaarallisia ”, kertoo Family Circle - lehti.",Ему окажут честь сражаться до смерти.
2091,"Tästä kaikki tuntevat teidät minun opetuslapsikseni, jos teillä on rakkaus keskuudessanne. ”","Недавно в New York Times была статья, знаток Корана сказал, ""Правильный перевод - это не ""71 темноволосая девственница, а 71 кристально чистая изюминка."""
2092,Hänen täytyy elää asian kanssa.,"Видимо, норки, выдры и другие животные, когда плывут, производят звук, очень похожий на звук двигателей подводных лодок, чем и сбивают с толку военных моряков."
2093,"Käytän Zoltan Kodalyn kehittämää viittomaa, jotta ymmärrätte paremmin.",По новой!
2094,Näytä minulle Iron Fist.,Архивировать
2095,Älä pahoittele.,Круто! Я люблю твоё шоу.
2096,"Kun Jeesus Kristus opetti kotikaupungissaan, hämmästynyt yleisö kysyi: ” Eikös tämä ole se puusepän poika?",Как это долго?
2097,Kätkin keittiöön koruja paperipusseissa.,Извините.
2098,"Puhuin hänen avustajansa kanssa, sitten kyselin asiasta radiologian osastolta. Kukaan ei osannut selittää miksi säteilyannos oli niin suuri.",Афро.
2099,Muuttuuko kaikki aivan täysin?,! Он не бельё для химчистки!
2100,Hienoa.,"Давай вытащим тебя отсюда, Базз."
2101,"Ja tuo ei ole luonnollista merilevää. Ongelma oli, kun kerron totuuden, niin lisää kysymyksiä oli odotettavissa. En tajua sitä.",Нет никакого периода Грэди Шиппа. Грэди Шипп был лишь однажды.
2102,Heippa!,Вы выдали ее замуж за чудовище!
2103,Hänellä oli kiire pois.,"Он ударил меня ровно туда, где этого не заметно, как будто точно знал, что делать."
2104,"En tiennyt, että hän tulisi.","Где они были, что они знают?"
2105,Ajattelin mennä tällä isällesi ja harjoitella samalla.,Заткнись! Не вопрос.
2106,"- Voi luoja, onko vauva...",Я не могу понять.
2107,"Ei sillä, että et olisi hyvä, koska...",- Она продолжается с 1878 года.
2108,Kun pyydämme Häneltä apua -,Изменения есть?
2109,Kuka hän on? - Potilas.,Могу ли я помочь вам с вашим ремнем безопасности?
2110,Muistatko ajosi parkkipaikalla? Se oli eri asia.,"Тревор, Чарли... Они пытались меня убить!"
2111,Tulin takaisin.,- Знаю. Заставь ее перестать
2112,He ovat halvaantuneita pelosta.,"Я выхожу тебя, даже если это будет последнее, что я сделаю."
2113,"Jos heidät pidetään samassa tilassa, he raatelevat toisensa.","Подожди минуту, мне надо написать пару писем."
2114,"Tiedän, ettei onni löydy omistamisesta edes 1900-luvulla.",Всем удачи! Удачи!
2115,Olet kuin joulupukki ilman outoa kiinnostusta lapsiin.,Трубопроводы в форсунках двигателя.
2116,Eikö tästä puhuta uutisissa?,Помнишь свой 15-й день рождения?
2117,"Kutsuin teidät tänne tänään, koska tämän on loputtava.","Вы чувствовуете что это случится? Я имею в виду, ну же, посмотрите на себя."
2118,Vakuutuksemme ovat kunnossa.,Я познакомилась с клёвым парнем.
2119,-Kuka tilasi stripparin?,А где Вивиан?
2120,"En voi uskoa tätä, Mahmoud.","Болезнь Крона, привела к абсцессу. Миллион вариантов."
2121,Et kuullut mitä sanoin aiemmin.,Серьезно?
2122,Lapset ovat syntyneet perä perää.,- И у нас была великолепная ночь.
2123,Taas se pelle tulee.,Ее нет.
2124,Onko kristillisyys epäonnistunut?,"Зоуи, правда, всё в порядке."
2125,Avatkaa ovi!,Грешника.
2126,Haastan tekijät oikeuteen.,"Тем не менее большинству казалось, что храм Артемиды в Эфесе будет существовать вечно."
2127,"Juokaa pois, sitä riittää.","Как он сказал... у него пожизненный срок, ему нечего терять, так почему бы не подурачиться над нами?"
2128,Kerroin tuon sinulle luottamuksella.,"Я хочу сказать тебе, что полностью тебе доверяю."
2129,PUSANIN kaupungissa Etelä - Koreassa voi nähdä hyvin poikkeuksellista kansantanssia.,"Если увижу, что кто-то идет, сделаю сигнальный выстрел."
2130,Olen Rousseaussa.,Почему опасаясь общества 15-летний девушки?
2131,Ihmiset eivät haihdu ilmaan.,Молодые. Красивые.
2132,Ärsyttävillä luuviuluilla ei ole sympatiaa läskejä kohtaan.,Я предъявлю свои права на трон Англии и выйду за вашего сына.
2133,Anna kun selitän tämän.,Посмотрите сами.
2134,- Mikä on suunnitelma?,Арлин?
2135,Kiinni!,Да ладно тебе.
2136,"Halusin ostaa kaksi jotta ne voisivat olla seuraksi toisilleen. Se nainen sanoi, että jompikumpi söisi toisen.","Пока, птенчик."
2137,Mennään jonnekin juttelemaan.,что ты думаешь об этом? Мы в трёхместном каноэ. когда мы добрались до ее дома и постучались в дверь.
2138,"Jos näet sitä terävähampaista pirulaista, tähtää ja purista. Ymmärrätkö?",Я просто...
2139,- Todellako?,Я видел какую-то суматоху.
2140,Hyvä on.,"Йорк, мы хотели бы сначала заказать напитки."
2141,"Toistaiseksi, sinun pitää pysyä kaukana siitä tytöstä.","Иначе чем можно объяснить то, что в районах, где велись военные действия или совершались террористические акты, поддержание мира и прекращение огня так труднодостижимы?"
2142,"Niinpä, ehdotan sulle ota vitun Tweedpukusi ja Tweedvaatteesi... ja painu vitussa kotiisi.","Я фанат Элвиса Костелло и Джерарда Мэнли Хопкинса, и я просто хотел попробовать что-то что соединит их настроения."
2143,Mikään ei muutu.,"Давай. Ты знаешь, что значат эти три слова."
2144,Puhuimme puhelimessa.,Думаешь?
2145,-Minkä takia?,"Город Рованиеми предоставляет семьям с детьми услуги дневного ухода в форме и в сроки, приемлемые для детей и семей в соответствии с Законом о дневном уходе за детьми."
2146,- Keitä he etsivät?,Я не этого хотел сказать.
2147,"Perhe, jonka tulot eivät riitä asunnon vuokran maksamiseen tai omistusasunnon kuluihin, voi hakea yleistä asumistukea Kelasta.",[ рыдает ] Лео? Иди и расскажи об этом своему отцу.
2148,Lastenhoito 12 VUOTTA MYÖHEMMIN,Я пытаюсь.
2149,Ja sitten se idiootti Rowley unohti jättää sen kotietsintäluvan.,"« Вкусно, — отвечает ее гость. — Но это точно выглядит как омлет!"
2150,"Absoluuttinen parhaiten yrityksen markkinoilla on juuri nyt, se on kaikki hyvä Gardein proteiini.","Я собирался сказать на следующей неделе, но раз уж ты сам начал..."
2151,- Opiskelitteko Hearstissa?,« Какое глупое учение! » – подумала я.
2152,Hän oli todella kaunis.,Помоги мне! Что мне делать?
2153,Oli mitä oli. Ruokaa kuitenkin.,"- Человек с армией, Филлипс!"
2154,- Synnyimme lähtemään.,"О, вот как?"
2155,Näin kun se tapahtui.,Или всё-таки побежали бы в травмпункт?
2156,-Oliko hänellä avaimet?,- Пошло к чёрту это змеиное логово!
2157,Älä kirjoita sitä.,Я сейчас вернусь.
2158,- Mitä?,Позднее Леополя назначили надзирателем филиала.
2159,Värvättyjä kokelaita ne ovat. Ei niistä ole mihinkään.,Спустя несколько недель у меня был выкидыш — мы все еще находились на Канарских островах.
2160,"Selvä, olet oikeassa.",Может дойти до голосования по импичменту?
2161,Tätä asua ei osteta.,-Я там смотрю .
2162,Mukava ajatus.,Как этим пользоваться?
2163,Studiossako?,без полномочий или разрешения от правительства Соединённых Штатов.
2164,Perinne.,"- А как же оружие? Нет, они выглядели милыми, джазовые котики."
2165,-Kiitos.,Ты где? У тебя все в порядке?
2166,Meksiko.,- Ты еще нес чертежи. - Да.
2167,"Sitten puristat nenästä, avaat suun ja puhallat.","Нет-нет, говорите громче."
2168,Vaikka kaksi.,Обещай быть осторожным. Хорошо. Обещаю.
2169,Toivottavasti sinäkin löydät vielä joskus oman perheesi.,"В смысле, я был в метро с дорогой ""девушкой по вызову""..."
2170,"Luulin, että hän vitsaili.",Помогите!
2171,ZEUS-TEOLLISUUSKOMPLEKSI,Берегись!
2172,"- Minun on mentävä, Laurie. Minun on haettava hänet kotiin.","Я всё поняла. Слава богу, что вы появились."
2173,Kolme minuuttia kulunut.,Ассоциации
2174,Hän näyttää niin tavalliselta.,"Hу, она делает поперечный шпагат, а потом начинает тереться о стекло, двигаясь вверх и вниз."
2175,Näin siinä kävi.,Мы себя не стыдимся.
2176,Yleensä uhri tuntee tekijän. Oliko Adrianan elämässä...,"И с чего ему что-то говорить? Пока будете его подготавливать, скажите ему, что он умрёт."
2177,Sinähän ajattelit hänen suojelemistaan.,"Монстры насильники, занимаются взломами, вооружёнными ограблениями, нападаниями"
2178,- Samaa.,"Ладно, бейсбольная бита не..."
2179,Ohitus on hyvä juttu.,Только вышла из кабинета Скиннера. Скиннер знает об Абдул Фаттахе.
2180,Aika kapea aikaikkuna.,"Нo у них вечнo тo кoчки, тo ухабьı..."
2181,Kun kuristin häntä. työnsin peukalolla silmän irti.,"Черт, Робби!"
2182,- Mitä asiaa?,У меня одна веревка. А ты не умеешь лазать по горам.
2183,Meidän on voitava käyttää keittiötä. Tietenkin.,Все в порядке. А ты очаровашка.
2184,"Hän on pannut merkille ihmishallitusten epäonnistumisen, ja hänen pettämätön Sanansa Raamattu osoittaa, että hän asettaa niiden tilalle pian oman hallituksensa.",Писатель хренов... Его пьеса - просто дерьмо!
2185,"Alkusanojensa jälkeen hän esitteli lyhyiden, hyödyllisten puheiden sarjan.",Ой ли? И про невинное свидание с Клэем?
2186,- Olen.,"# Тик-так, заведи часы # # Мне нравятся все они...#"
2187,-Se on kuusi metriä.,Сегодня приезжает твоя мама.
2188,"Huomenta, newyorkilaiset.","Я думаю, у него есть."
2189,Hyvää iltaa!,Собаку нужно вывести из помещения. Он говорит по-французски. Она говорит:
2190,Käyttikö hän sitä koskaan?,- Ладно.
2191,"- En halua riidellä, Tandy.",— Сукин сын.
2192,"Usko nyt, että tällä kertaa en päästä sinua käsistäni.","Скайлер, это элементарное разделение труда."
2193,Alberto on hävittämisalan ammattilainen.,"Как там дела у Петерсон, она нашла висяк?"
2194,- Tämä on äitini auto.,"Он просто... Обычно он разговоривал со своей мамой, понимаете?"
2195,"Vaikka se olisi hänellä, hän ei tee tätä rahan vuoksi.","Ты сказал, что был копом."
2196,"Sanoit, etteivät he ikinä kunnioittaisi minua.","Но Иегова еще не закончил творить, пользуясь своим духом."
2197,Kuten koulun kundit runkatessaan.,Звучит здорово.
2198,Hän antoi tämän juuri parkkipaikalla.,И я никогда бы не воткнул иглу в руку.
2199,Avaa ovi.,Со своим прекрасным акцентом можешь заставить гламурную девочку покраснеть Услышав такие грязные слова
2200,Onko selvä?,"Мы просто ждали конца первого триместра, чтобы всем сказать."
2201,Iris on ensimmäinen avovaimoni. Tämä on uutta ja jännittävää.,"По всему миру 40 миллионам детей нехватает витамина А, и из них 13 миллионов уже имеют некоторый дефект зрения."
2202,"Väki, nämä eivät ole tavalliset korvakorut.",- Ок. - Это для чего? - Это?
2203,Sanoiko hän jättävänsä vaimonsa?,"Мама, что значит отпуск?"
2204,Haluan kuulla joka ikisen yksityiskohdan.,Какая?
2205,Avaa ovi.,"Так он сказал: ""Что нам нужно покончить с этим прямо сейчас?"""
2206,- Entä hän?,Знаешь хорошего адвоката по фальшивым разводам?
2207,Kiikutan sen labraan.,Мы тогда уже три недели налаживали прототип.
2208,Gabriel Vaughn on maamme palkituimpia sotilaita.,Ничего...
2209,Brianin Japanissa miellyttävä ilmapiiri sissisodan,"Но мне очень нравится та песня Кэти Перри. Она как-будто говорит со мной, понимешь."
2210,- Tuo on pikkuveljeni.,"Подумайте, прежде чем открывать ссылки или вложения в электронном письме или мгновенном сообщении — даже если они от друзей."
2211,Paras jättää vinkki FBI:,Рико!
2212,Hän käytti varusteitamme tehdäkseen pornoa Adelelle.,"Шум этот наполнил весь дом, в котором собралось около 120 учеников Иисуса Христа."
2213,- Minusta se kehittaa persoonallisuutta ja on tosi hauskaa.,"Судя по всему, памятники его оскорбляют."
2214,"Äidistäni, itse asiassa. - Hän saattaa olla pulassa.",Можем как-нибудь использовать транспортёры?
2215,- rohkeutta,"Некоторые забеременели до того, как познакомились с нормами Бога."
2216,Millaisia siunauksia saamme Jehovan ansaitsemattoman hyvyyden johdosta?,"В собрании я получаю ценное руководство, которое помогает мне выдерживать ужасное давление Сатаны."
2217,Mutta olit väärässä.,"(106:26) восходят до небес, нисходят до бездны; душа их истаевает в бедствии;"
2218,"Kertokaa vaan, miten mukava paikka tämä oli ennen tuloamme.",Продолжай.
2219,"Suunnitelmia, kohteita, jotain.","Понимаешь, мне нужно удостовериться что вы не пытаетесь меня одурачить."
2220,En usko.,"Ущипните меня, я сплю!"
2221,Me yritimme pelastaa hänet.,- Сейчас подойдет моя девушка.
2222,Lupasit jotain lapsesi äidille.,Он признался.
2223,"Todistaja ei halunnut astua esiin, mutta kun näki minun lähtevän, teki jotakin.",Извините.
2224,"Jos minä nussisin poikaani, pussaisin häntä ensin.",« [Станьте] сосудом в чести... годным на всякое доброе дело ».
2225,-Jätit tämän eilen luokseni.,"Рад снова тебя видеть, Робин. И я тебя, Бэйлфар"
2226,"Hänellä sattui olemaan mukanaan Herätkää! - lehti 8.9.2003, jossa oli kirjoitus ” Tutustumme kiehtovaan harmaavalaaseen ”.",И лучше мне никогда прежде не было.
2227,-Oletko kunnossa?,Он признается: « Читать подобные книги и смотреть такие фильмы я стал чисто из любопытства ».
2228,"Oliko sekin valhetta, kuten paholainen, - joka väittää olevan kuolleista herännyt isäni?","Важно, где это коснётся вас."
2229,"He alkoivat unelmoida koristeista, kutsuista, puvuista, joita he pitäisivät yllään, ja miten heidän isänsä saisivat ja eivät saisi pukeutua.",Пошли!
2230,-Minulla on vain kymppi.,- Не здесь.
2231,- Tiedät sä sen ämmän?,А что за бизнес?
2232,"Me kerromme heille, ja he sanovat, ""Joo.",а как это – убить человека?
2233,Yritin varoittaa sinua.,Я начинаю скучать по старым агентам- они были просто душками.
2234,Reuben on pitänyt sen salassa.,"Клаудия, давай за ней! Я?"
2235,- Mahtuuko Narnin alus sinne?,"Эта идеология унификации, однообразия и дешевизны широко применяемая в большом масштабе имеет множество неожиданных последствий."
2236,Tässä on kyse Clairesta.,У меня никогда не было времени для школы.
2237,Se kaikki tehdään tietokoneilla.,"Но он призвал их молиться Отцу, а затем добавил: « Просите — и получите, чтобы радость ваша достигла полноты »."
2238,- Mistä niin päättelet?,Я не могу отдать тебя витаминному тонизирующему ополаскивателю.
2239,Otan sen riskin.,"Она очень хотела работать там, где существует бо́льшая потребность."
2240,Kadotimme yhteyden siihen ja samalla itseemme.,"Нет, сэр, мы его исключили."
2241,"Mikä on alkuperäistä, ja mitä on vuosien varrella paranneltu?","Я сожалею, что это было необходимо."
2242,- Mitä ehdotat?,"Здесь некоторое время я работал в служебном отделе, а затем какое - то время обучал сотрудников филиала и разъездных надзирателей."
2243,"- ""Ei yrittänyttä laiteta?","КОРОЛЬ ГУСТАВ II АДОЛЬФ (сын Карла IX), 1611 — 1632 годы."
2244,"Sano heille, että minulle riitti.","К моей великой радости, в 2006 году Шери посвятила свою жизнь Иегове и крестилась на конгрессе Свидетелей Иеговы в Гонконге."
