,english,finnish
1872,I know nothing about Tom.,En tiedä mitään Tomista.
1873,I will have to get rid of this worn-out carpet.,Minun pitää päästä eroon tästä kuluneesta matosta.
1874,Have you ever dyed your hair?,Oletko sinä ikinä värjännyt sinun hiuksiasi?
1875,Tom has been lucky.,Tom on ollut onnekas.
1876,Do you enjoy studying?,Tykkäätkö sinä opiskelusta?
1877,"I haven't met him in person, but I know of him.","En ole henkilökohtaisesti tavannut häntä, mutta tunnen hänet kyllä."
1878,"Career opportunities, flex-time, satellite offices, and more childcare facilities are required to make women at home join the work force.","Uramahdollisuuksia, joustoaikaa, etätyötä ja lisää lastenhoitopaikkoja tarvitaan saamaan kotona olevat naiset liittymään työvoimaan."
1879,I had a blackout.,Minulla oli muistikatkos.
1880,I am an architecture student and I have never worked at a construction site.,"Olen arkkitehtuuriopiskelija, enkä ole koskaan työskennellyt rakennustyömaalla."
1881,"May I have the check, please?","Saisinko laskun, kiitos!"
1882,Nobody can stop me.,Kukaan ei voi pysäyttää minua!
1883,Don't kick the dog!,Älkää potkaisko koiraa!
1884,French is my favorite subject.,Ranska on minun lempiaineeni.
1885,We're short of something.,Jostakin meillä on puutetta.
1886,I enjoy reading novels.,Pidän romaanien lukemisesta.
1887,Right?,Eikös vaan?
1888,What a charming couple!,Miten hurmaava pariskunta!
1889,Respect!,Upeaa!
1890,Tom had no reason not to do it.,Tomilla ei ollut syytä olla tekemättä sitä.
1891,Tom's crazy.,Tomi on hullunkurinen.
1892,I have neither time nor money for that.,Minulla ei ole aikaa eikä rahaa tuohon.
1893,I mean it!,Tarkoitan sitä tosissani.
1894,Tom's clothes are out of fashion.,Tomin vaatteet ovat poissa muodista.
1895,"Dan lost his temper, insulted Linda and left.","Dan menetti hermonsa, haukkui Lindaa ja lähti."
1896,Why didn't you tell me about this sooner?,Mikset kertonut tästä pikaisemmin?
1897,There was no one in the room besides Mary and John.,Maryn ja Johnin lisäksi huoneessa ei ollut ketään muuta.
1898,This coat is too tight.,Tämä takki on liian tiukka.
1899,Tom put on his seatbelt.,Tomi kiinnitti turvavyönsä.
1900,Tom talks about you all the time.,Tom puhuu sinusta koko ajan.
1901,Her cheeks turned red.,Hänen poskensa punastuivat.
1902,The ceremony has ended.,Seremonia on päättynyt.
1903,"That gentleman isn't a teacher, he's a doctor.","Tuo herra ei ole opettaja, hän on tohtori."
1904,Is this some kind of joke?,Onko tämä jonkinlainen vitsi?
1905,This is a sentence that has the syllable count of a haiku.,"Tässä lauseessa, tavumäärä vastaava, haikurunossa."
1906,It's almost time to go.,On melkein aika mennä.
1907,Tom is staying at a hotel.,Tom asuu hotellissa.
1908,I was lying earlier.,Valehtelin aiemmin.
1909,I can't get rid of this cold.,En pysty pääsemään eroon tästä vilustumisesta.
1910,Hop in.,Hyppää sisään.
1911,"Xalbo, who are you talking to?","Xalbo, kenelle sinä puhut?"
1912,Would you like to go abroad?,Haluaisitko mennä ulkomaille?
1913,You're not obliged to thank me.,Et ole velvollinen kiittämään minua.
1914,My brother wants to kill me.,Minun veljeni haluaa tappaa minut.
1915,The best way to lose weight is to eat properly and get a lot of exercise.,Paras tapa laihtua on syödä kunnollisesti ja liikkua paljon.
1916,"That's not my problem, Tom.","Se ei ole minun ongelmani, Tom."
1917,Can you drive the jeep?,Voitko ajaa jeeppiä?
1918,Tom doesn't like cats.,Tom ei tykkää kissoista.
1919,Tom almost convinced me.,Tom sai minut melkein vakuutettua.
1920,I like singing.,Tykkään laulamisesta.
1921,I'd like to have the translation of this song.,Haluaisin tämän laulun käännöksen.
1922,How far away is the airport?,Kuinka kaukana lentokenttä on?
1923,Your cooperation is appreciated.,Yhteistyönne on arvostettua.
1924,"What is your name, sir?","Mikä on nimesi, herra?"
1925,I'm so fat.,Olen niin lihava.
1926,We will free you from the elevator.,Vapautamme sinut hissistä.
1927,Nobody likes Tom.,Kukaan ei pidä Tomista.
1928,I feel like eating something.,Taidan haluta syödä jotakin.
1929,A call for help rang through the night.,Avunhuuto kaikui yössä.
1930,You have work to do.,Sinulla on töitä tehtävänä.
1931,Are you angry with me?,Oletko minulle vihainen?
1932,You should play football.,Sinun pitäisi pelata jalkapalloa.
1933,His work is below average.,Hänen työnsä on keskivertaista kehnompaa.
1934,"Though we had grown apart in the months preceding his sudden and unexpected death, I continue to mourn his passing.","Vaikka olimme kasvaneet toisistamme erilleen kuukausina, jotka edelsivät hänen yhtäkkistä ja odottamatonta kuolemaansa, jatkan hänen poismenonsa suremista."
1935,Let's start over again.,Aloitetaanpa alusta.
1936,How about going to the movie?,Mitä jos mentäisiin elokuviin?
1937,Tom was the worst.,Tomi oli huonoin.
1938,Ignorance is bliss.,Tieto lisää tuskaa.
1939,He's a bit drunk.,Hän on vähän humalassa.
1940,Come fast.,Tulkaa nopeasti.
1941,I found some other problems.,Huomasin joitakin muita ongelmia.
1942,She postponed her trip to Mexico.,Hän lykkäsi Meksikon matkaansa.
1943,Tom has a sister named Mary.,Tomilla on Mary-niminen sisar.
1944,I'm sure you're tired.,Olet varmasti väsynyt.
1945,The walls were painted light brown.,Seinät oli maalattu vaaleanruskeiksi.
1946,Tom was very happy when his team won.,"Tomi oli todella onnellinen, kun hänen joukkueensa voitti."
1947,Tom can't have done it by himself.,Tom ei ole voinut tehdä sitä itse.
1948,Tom has more energy than a pack of squirrels.,Tomilla on enemmän energiaa kuin oravalaumalla.
1949,"In the kitchen a kettle was singing on the fire, and a large black cat lay coiled up in the basket.",Keittiössä vesikattila vihelsi tulella ja iso musta kissa makasi kerälle käpertyynenä korissa.
1950,How many people contribute to Tatoeba?,Kuinka monta ihmistä antaa panoksensa Tatoebassa?
1951,I know I can fix it.,"Tiedän, että pystyn korjata sen."
1952,Jupiter is the largest planet in the Solar System.,Jupiter on aurinkokunnan suurin planeetta.
1953,You all right?,Oletko kunnossa?
1954,Slow learners often don't want to go to school.,Hitaat oppijat eivät usein halua mennä kouluun.
1955,I haven't seen you for a while.,Onpa siitä aikaa!
1956,Tom said to Mary that it was just a one-night stand.,"Tom sanoi Marille, että se oli vain yhden yön juttu."
1957,What an ego!,Siinäpä vasta iso ego!
1958,That is a big dog.,Tuo on iso koira.
1959,Which leg hurts?,Kumpaan jalkaan sattuu?
1960,Tom doesn't like girls who wear high heels.,"Tom ei pidä tytöistä, jotka käyttävät korkeita korkoja."
1961,I'm broke.,Rahani ovat lopussa.
1962,The road is uphill all the way.,Tie on ylämäkeä koko matkan.
1963,Tom was raised in an orphanage.,Tomi kasvoi orpokodissa.
1964,How cute!,Onpa söpö!
1965,I'll meet with Tom.,Tapaan Tomin.
1966,He dived.,Hän sukelsi.
1967,Today would be good.,Tänään kelpaa.
1968,There is a bookstore in front of the department store.,Tavaratalon edessä on kirjakauppa.
1969,Have you read Tom's new book?,Oletko lukenut Tomin uuden kirjan?
1970,They shot Tom.,He ampuivat Tomia.
1971,Let me try.,Anna mun kokeilla.
1972,Our rights are not being considered.,Meidän oikeuksiamme ei oteta huomioon
1973,Tom and Mary hardly spoke to each other during breakfast.,Tom ja Mari tuskin puhuivat toisilleen aamiaisella.
1974,Subject closed.,Asia on loppuun käsitelty.
1975,"Whose cats are these? ""They are Fatima's.""",”Kenen kissoja nämä ovat?” ”Ne ovat Fatiman.”
1976,"Tom tried to leave, but Mary blocked his way.","Tom yritti lähteä, mutta Mary tukki hänen tiensä."
1977,Oranges have a lot of vitamin C.,Appelsiineissä on paljon C-vitamiinia.
1978,"Go do your fucking homework, right now!","Mee tekemään sun vitun läksyt, nyt!"
1979,I'm really looking forward to it.,Odotan todella sitä.
1980,This is so exciting.,Tämä on niin jännittävää.
1981,I'm staying at this hotel.,Majoitun tässä hotellissa.
1982,Put your suitcase over here.,Laita matkalaukkusi tänne.
1983,Tom won by three points.,Tomi voitti kolmen pisteen erolla.
1984,"Well, it's complicated.","No, se on monimutkaista."
1985,Tom was pretty young at the time.,Tom oli melko nuori siihen aikaan.
1986,Stay a little longer.,Jää vähän pidemmäksi.
1987,I wish I were young again.,"Toivon, että olisin taas nuori."
1988,The school will provide tents for us.,Koulu varustaa meille teltat.
1989,He fell asleep at the wheel and had an accident.,Hän nukahti rattiin ja joutui onnettomuuteen.
1990,Lisa is so skillful that she can even make screws and similar small objects for herself.,"Liisa on niin taitava, että hän voi jopa tehdä itse ruuveja ja muita pieniä esineitä."
1991,Tom took risks.,Tom otti riskejä.
1992,I cannot stop from thinking about this problem.,En kykene lopettamaan tämän ongelman miettimistä.
1993,You'll find a way.,Keksit kyllä keinot.
1994,Tom wasn't an especially good student in high school.,Tom ei ollut erityisen hyvä oppilas lukiossa.
1995,Why don't we just order a pizza?,Entäpä jos vain tilaisimme pizzan?
1996,Do you remember my name?,Muistatko minun nimeni?
1997,Tom stopped laughing.,Tom lakkasi nauramasta.
1998,Tom is able to swim well.,Tom osaa uida hyvin.
1999,Tom and Mary are friends of my family.,Tomi ja Mari ovat perhetuttuja.
2000,It was crowded here all last week.,Täällä oli paljon väkeä koko viime viikon.
2001,Now you've ruined it.,No nyt olet pilannut sen.
2002,"Welcome back, Tom. We've missed you.","Tervetuloa kotiin, Tom. Meillä oli sinua ikävä."
2003,They kissed.,He suutelivat.
2004,That's Tom's brother.,Tuo on Tomin veli.
2005,You're my best friend.,Olet paras ystäväni.
2006,I am writing in relation to your complaint.,Kirjoitan valitustanne koskien.
2007,The typical elements of a foreign culture are changed into the typical elements of the local culture of translators.,Vieraalle kulttuurille tyypilliset osatekijät vaihdetaan kääntäjien paikalliselle kulttuurille tyypillisille osatekijöille.
2008,I will include the author's and publisher's names.,Haluan sisällyttää mukaan kirjailijan ja julkaisijan nimet.
2009,That book is easy.,Se kirja on yksinkertainen.
2010,They released the prisoner.,He vapauttivat vangin.
2011,Tom baked a cake for Mary.,Tomi leipoi Marille kakun.
2012,The shy boy murmured his name.,Ujo poika mutisi nimensä.
2013,Where are her other pictures?,Missä ovat hänen muut kuvansa?
2014,This isn't a real diamond.,Tämä ei ole aito timantti.
2015,Be prepared!,Olkaa valmiina!
2016,Senator Kerry was considered a liberal.,Senaattori Kerryä pidettiin liberaalina.
2017,Tom is good at swimming.,Tom osaa uida hyvin.
2018,You must be careful not to make him angry.,"Sinun pitää olla varovainen, että et suututa häntä."
2019,"He is rude, but I love him all the same.","Hän on töykeä, mutta rakastan häntä silti."
2020,You're a jerk.,Olet mäntti.
2021,Let's park over there.,Parkkeerataan tuonne.
2022,Tom kissed Mary gently.,Tomi suuteli Maria hellästi.
2023,I look after my grandfather.,Pidän huolta ukistani.
2024,I'm from Austria.,Olen Itävallasta.
2025,"Thanks for the invitation, Tom.","Kiitos kutsusta, Tomi."
2026,Did you get my message?,Saitko sinä minun viestini?
2027,Tom caught the ball with one hand.,Tom nappasi pallon kiinni yhdellä kädellä.
2028,You're a fucking idiot!,Sä oot ihan vitun tyhmä!
2029,The air conditioner is out of order.,Ilmastointilaite on rikki.
2030,"The important thing is not to win, but that the other loses.","Tärkeintä ei ole voitto, vaan toisen tappio."
2031,I waited all afternoon in vain.,Odotin turhaan koko iltapäivän.
2032,No way.,Ei missään nimessä.
2033,Deal?,Sopiiko?
2034,It's raining in my heart.,Sydämessäni sataa.
2035,I'm not a weirdo.,En ole kummajainen.
2036,Tom boiled himself an egg.,Tomi keitti itselleen kanamunan.
2037,I am reading the book.,Olen lukemassa sitä kirjaa.
2038,A lot of people live in Tokyo.,Tokiossa asuu paljon väkeä.
2039,Hold on a sec.,Odota vähän.
2040,It was never a problem before.,Se ei ikinä aiemmin ollut ongelma.
2041,"If that guitar weren't so expensive, I could buy it.","Jos tuo kitara ei olisi niin kallis, voisin ostaa sen."
2042,"I don't know whether I can do it, but I'll try.","Emmää tiiä että pystynkö mää siihen, mutta kyllä mää yritän."
2043,Tom never got caught.,Tomia ei saatu koskaan kiinni.
2044,The fireworks display was cancelled.,Ilotulitusnäytös peruttiin.
2045,Take a liberal view of young people.,Suhtaudu nuoriin sallivasti.
2046,His teeth are white like a pearl.,Hänen hampaansa ovat valkoiset kuin helmi.
2047,A lot of cars speed by on this expressway day and night.,Paljon autoja kiitää ohi pitkin tätä moottoritietä päivin ja öin.
2048,That's why I came back so soon.,Siksi palasin niin pian.
2049,I'm winning.,Olen voittamassa.
2050,Stay hydrated!,Pitäkää huolta nesteytyksestänne!
2051,I plan to stay at home all day tomorrow.,Aion olla huomenna koko päivän kotona.
2052,I should've brought an umbrella.,Minun olisi pitänyt ottaa sateenvarjo mukaan.
2053,He looked unfriendly at first.,Hän näytti aluksi epäystävälliseltä.
2054,The refrigerator is open.,Jääkaappi on auki.
2055,Everybody but Tom smiled.,Kaikki paitsi Tom hymyilivät.
2056,"I had an appointment at 2:30, but I was caught in traffic and couldn't get there in time.","Minulla oli tapaaminen 2.30, mutta juutuin liikenteeseen enkä voinut päästä sinne ajoissa."
2057,I'm sorry I bothered you.,"Anteeksi, että vaivasin."
2058,What are you trying to hide from me?,Mitä sinä yrität piilotella minulta?
2059,I didn't mean that to happen.,"En tarkoittanut, että niin tapahtuisi."
2060,Why are you so clumsy?,Miksi sinä olet niin kömpelö?
2061,Tom didn't really feel like studying.,Tomin ei todellakaan tehnyt mieli opiskella.
2062,Tom didn't drown.,Tom ei hukkunut.
2063,Where is the exit?,Missä on uloskäynti?
2064,This paper has a large circulation.,Tällä lehdellä on laaja levikki.
2065,A man must be honest.,Ihmisten täytyy olla rehellisiä.
2066,You should be more careful the next time.,Seuraavalla kerralla sinun pitää olla varovaisempi.
2067,Does anyone in your family speak French?,Puhuuko kukaan perheessäsi ranskaa?
2068,My uncle lives in New York.,Setäni asuu New Yorkissa.
2069,He speaks English and French.,Hän puhuu englantia ja ranskaa.
2070,"Pardon, do you have the time?","Anteeksi, onko sinulla kelloa?"
2071,He stayed at the hotel for two days.,Hän majoittui hotelliin kahdeksi päiväksi.
2072,My father used to say that time is money.,"Isäni tapasi sanoa, että aika on rahaa."
2073,You have lots of time.,Sinulla on paljon aikaa.
2074,Escape!,Pako!
2075,They need new shoes.,He tarvitsevat uudet kengät.
2076,Tom has already eaten.,Tom on jo syönyt.
2077,A couch potato is something that I don't want to be.,"Sohvaperuna on jotain sellaista, joka en halua olla."
2078,Tom is a pre-teen.,Tom on esimurrosikäinen.
2079,I swear I didn't see Tom.,Vannon etten nähnyt Tomia.
2080,He regrets having been idle when young.,Hänen katuu nuorena laiskotteluaan.
2081,No one wants to talk about it.,Kukaan ei halua puhua siitä.
2082,It's pretty warm today.,Tänään on aika lämmintä.
2083,They don't despise you.,He eivät halveksu sinua.
2084,You're supposed to be helping them.,Teidän pitäisi olla auttamassa heitä.
2085,Happy Halloween!,Hyvää kekriä!
2086,Tom had to rent a car.,Tomin täytyi vuokrata auto.
2087,Do you not want to go dancing?,Etkö halua lähteä tanssimaan?
2088,Tom hates dogs.,Tomi vihaa koiria.
2089,I'm too drunk.,Olen liian humalassa.
2090,Please give me a glass of milk.,"Saisinko lasillisen maitoa, kiitos."
2091,Tom looked very old.,Tom näytti hyvin vanhalta.
2092,"You wouldn't do that, would you?",Ethän sää tekis noin?
2093,The water was too hot yesterday.,Eilen vesi oli liian kuumaa.
2094,Why aren't you answering?,Miksi sinä et vastaa?
2095,She installed a security camera.,Hän asensi valvontakameran.
2096,Can I go first?,Voinko mennä ensimmäisenä?
2097,The young man whom I employed as my assistant works very hard.,"Nuori mies, jonka palkkasin assistentikseni, työskentelee kovasti."
2098,I'm not a native speaker.,En puhu kieltä äidinkielenäni.
2099,For what?,Mitä varten?
2100,We caught him red-handed.,Saimme hänet kiinni rysän päältä.
2101,The jar is empty.,Purkki on tyhjä.
2102,The movie was a real tear-jerker.,Elokuva oli oikea nyyhkyleffa.
2103,Why are you in the bathroom?,Miksi olet WC:ssä?
2104,Tom is Canadian.,Tomi on kanadalainen.
2105,This isn't as crazy as it sounds.,"Tämä ei ole niin hullua kuin, miltä se kuulostaa."
2106,I didn't mean to wake you up.,Ei ollut tarkoitus herättää sinua.
2107,Scream!,Huutakaa!
2108,I regret that I did that.,"Kadun sitä, että tein sen."
2109,You do look a little pale.,Näytät tosiaankin vähän kalpealta.
2110,I'm Icelandic.,Olen islantilainen.
2111,Who sent Tom?,Kuka lähetti Tomin?
2112,Tom thought Mary would be hesitant to do that.,"Tommi luuli, että Mari epäröisi tehdä tuon."
2113,You're just being paranoid.,Olet vain vainoharhainen.
2114,"I don't know about you guys, but I'm buying Tom a birthday present.","Minä en tiedä teistä, mutta minä aion ostaa Tomille syntymäpäivälahjan."
2115,He went to the store.,Hän meni kauppaan.
2116,"We got stuck in a traffic jam, which made us twenty minutes late.","Jumituimme ruuhkaan, joka myöhästytti meitä kaksikymmentä minuuttia."
2117,I read the article.,Luin artikkelin.
2118,I sold it this afternoon.,Myin sen tänään iltapäivällä.
2119,I can read without glasses.,Voin lukea ilman silmälaseja.
2120,Vectors need not correspond to a physical quantity; anything can be a vector space as long as vector addition and scalar multiplication is defined.,"Vektorien ei tarvitse vastata fyysisiä suureita; mikä tahansa voi olla vektoriavaruus, kunhan vektoreiden yhteenlasku ja skalaareilla kertominen on määritelty."
2121,Calm down!,Rauhoittukaa!
2122,Look at the clock.,Katso kelloa.
2123,Tom lapsed into a coma and didn't regain consciousness.,Tom vaipui koomaan eikä palannut tajuihinsa.
2124,Tom wants to come with us to Boston.,Tom haluaa tulla Bostoniin meidän kanssamme.
2125,May I leave this with you?,Saisinko jättää tämän sinun hoitoosi?
2126,You need to be here for your family.,Sinun täytyy olla täällä perheesi takia.
2127,I am very interested in these stories.,Olen hyvin kiinnostunut näistä tarinoista.
2128,I feel like such a fool.,Tunnen olevani ihan pöhkö.
2129,Tom goes for a walk every afternoon.,Tom käy kävelyllä joka iltapäivä.
2130,You are a professor.,Olet professori.
2131,"There are sayings, phrases, idioms and proverbs in every language which can not be translated literally.","Kaikissa kielissä on sanontoja, fraaseja, idiomeja ja sananlaskuja, joita ei voi kääntää kirjaimellisesti."
2132,I haven't heard that story yet.,En ole vielä kuullut sitä juttua.
2133,"When one admits that nothing is certain one must, I think, also admit that some things are much more nearly certain than others.","Kun todetaan, ettei mikään ole varmaa, täytyy uskoakseni myös todeta, että toiset asiat ovat varmempia kuin toiset."
2134,The strange-looking woman was thought to be a witch.,Oudon näköistä naista luultiin noidaksi.
2135,I had a tough day.,Minulla oli rankka päivä.
2136,Do your homework before you watch TV.,Tee läksysi ennen telkkarin katsomista.
2137,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,Sini- ja kosinifunktiot saavuttavat arvoja lukujen -1 ja 1 väliltä (miinus yksi ja yksi mukaanluettuina).
2138,Leave my house.,Lähde talostani.
2139,Tom is a liberal.,Tom on liberalisti.
2140,Give me time.,Anna minulle aikaa.
2141,I have to give back the book before Saturday.,Minun täytyy antaa kirja takaisin ennen lauantaita.
2142,That's something we made.,Tuon me olemme tehneet.
2143,That's what Tom wanted you to think.,Noin Tomi halusi sinun ajattelevan.
2144,"May I speak to Mr. Nakagawa? ""It's me""",”Onko herra Nakagawa tavattavissa?” ”Täällä puhuu Nakagawa.”
2145,My laptop has a built-in card reader.,Kannettavassani on sisäänrakennettu kortinlukija.
2146,Is it all right to use a flash here?,Onko soveliasta käyttää salamaa täällä?
2147,How do you like Kyoto?,Mitä mieltä olet Kiotosta?
2148,You can't do that anymore.,Enää ette te voi tehdä noin.
2149,"Shot, huh?","Ammuttiin, vai?"
2150,I'm sorry that I'm late.,Pahoittelut myöhästymisestä.
2151,Freeze!,Liikkumatta!
2152,"Yeah, you could be right.","Joo, te saatatte olla oikeassa."
2153,He is advised to keep to a strict diet.,Häntä on neuvottu pitämään tarkkaa ruokavaliota.
2154,Tom wanted to stay at home.,Tom tahtoi jäädä kotiin.
2155,I want to marry Heather.,Haluan naida Heatherin.
2156,I've changed my website's layout.,Olen muuttanut verkkosivujeni layoutia.
2157,Tom uses the same dictionary as I do.,Tom käyttää samaa sanakirjaa kuin minä.
2158,It appears to be broken.,Se vaikuttaa olevan rikki.
2159,"If you don't want to read, then don't read.","Jos et halua lukea, niin älä sitten lue."
2160,He likes to live in that place.,Hän pitää siinä paikassa asumisesta.
2161,That's why I love you.,Siitä syystä minä rakastan sinua.
2162,This story has a happy ending.,Tällä tarinalla on onnellinen loppu.
2163,"Unfortunately, that's true.","Pitää paikkansa, ikävä kyllä."
2164,It is high time I was going.,Minun on jo korkea aika mennä.
2165,Why are you doing this?,Miksi te teette tämän?
2166,My French is crappy.,Ranskani on surkeaa.
2167,I want to sleep in my own bed tonight.,Haluan nukkua omassa sängyssäni tänä yönä.
2168,See ya!,Nähään!
2169,She's basically clumsy so ... I guess she looks up to that sort of thing.,Hän on pohjimmiltaan kömpelö...Luulen että hän etsii sen kaltaista asiaa.
2170,Tom and Mary's wedding anniversary is today.,Tänään on Tomin ja Marin vuosipäivä.
2171,Please give me a coffee.,Haluaisin kahvin.
2172,Help me move this file cabinet.,Auta minua siirtämään tämä arkistokaappi.
2173,Tom only cares about himself.,Tom välittää vain itsestään.
2174,Is anybody awake?,Onko kukaan hereillä?
2175,I find it weird that you'd like to see me given how much I bothered you last week.,"Minusta se on outoa, että haluaisit nähdä minut, ottaen huomioon kuinka paljon vaivasin sinua viime viikolla."
2176,I think we're done.,Luulen että olemme valmiit.
2177,Cease!,Keskeytä!
2178,This is not okay.,Se ei käy päinsä.
2179,John kept his head above water.,John piti päänsä veden yläpuolella.
2180,They are vegetarians.,He ovat kasvissyöjiä.
2181,Tom is very proud of his son.,Tomi on erittäin ylpeä pojastaan.
2182,Tom can finish the job.,Tom pystyy tekemään työn valmiiksi.
2183,Mary was glad to see the squirrel begging for food in the garden again.,Mari oli iloinen nähdessään ruokaa kerjäävän oravan taas pihalla.
2184,I still haven't decided.,En ole vielä päättänyt.
2185,All these books are mine.,Nämä ovat kaikki minun kirjojani.
2186,Is this book yours?,Onko tämä kirja sinun?
2187,That's absurd!,Tuo on mielipuolista!
2188,I have never seen her help her father.,En ole koskaan nähnyt hänen auttavan isäänsä.
2189,What do you make?,Mitä sinä teet?
2190,Did Tom get hurt?,Sattuiko Tommia?
2191,My left arm is asleep.,Minun vasen käteni on puuduksissa.
2192,He lives in a little cozy house.,Hän asuu pienessä ja viihtyisässä kodissa.
2193,"No sentence on Tatoeba contains the word ""anathema"".",Yksikään lause Tatoebassa ei sisällä sanaa ”anateema”.
2194,I'm looking for you.,Etsin sinua.
2195,Some fans of music will praise all indie songs just for the genre and not the actual quality.,"Musiikkidiggareiden joukossa on sellaisiakin, jotka antavat suuren arvon kappaleille pelkästään siksi, että ne ovat indie-musiikkia."
2196,I ruined one of my best shirts when I spilled some battery acid on the sleeve.,"Pilasin yhden parhaista paidoistani, kun läikytin sen hihalle akkuhappoa."
2197,What will you make?,Mitä te valmistatte?
2198,I'm at the beach.,Minä olen rannalla.
2199,Einstein predicted that the Sun's gravity would bend light.,"Einstein ennusti, että auringon vetovoima taivuttaisi valoa."
2200,She drinks wine even though she does not drink beer.,Hän juo viiniä vaikka ei juo olutta.
2201,He earns not more than 50 dollars a week.,Hän ei tienaa enempää kuin 50 dollaria viikossa.
2202,Why are you always shouting?,Miksi sinä aina huudat?
2203,Sentences referring to sexual matters tend to be considered vulgar on Tatoeba.,Seksuaalisuuteen viittaavia lauseita tavataan Tatoebassa pitää karkeina.
2204,The way is long.,Tie on pitkä.
2205,Tom is deceitful.,Tomi on kavala.
2206,I forgot to do that.,Unohdin tehdä tuon.
2207,"I'd like to check in, please.","Haluaisin kirjautua sisään, kiitos."
2208,His speech captured our attention.,Hänen puheensa vangitsi huomiomme.
2209,She takes care of her old mother.,Hän pitää huolta vanhasta äidistään.
2210,Which side is batting?,Kumpi puoli on lyöntivuorossa?
2211,Who quit?,Kuka lopetti?
2212,"Without loss of generality, we can say that the sequence converges to zero.","Yleisyyttä menettämättä voimme sanoa, että jono suppenee nollaan."
2213,Fish are cold-blooded animals.,Kalat ovat vaihtolämpöisiä eläimiä.
2214,You're a pathetic loser.,Olet säälittävä häviäjä.
2215,I've just been to the post office.,Minä kävin juuri postitoimistossa.
2216,It's for a friend of mine.,Se on yhdelle ystävälleni.
2217,Do you have any evidence?,Onko sinulla mitään todisteita?
2218,Eat as much as you want.,Syö vaan niin paljon kuin haluat.
2219,This is of interest to me.,Tämä on mielenkiintoista minulle.
2220,What did you say?,Mitä sanoitte?
2221,Yikes!,Ääk!
2222,I couldn't help but agree.,En voinut muuta kuin olla samaa mieltä.
2223,Tom is due to come at noon.,Tomin pitäisi tulla puolilta päivin.
2224,I worry about him.,Olen huolissani hänestä.
2225,I understand your language.,Ymmärrän sinun kieltäsi.
2226,I work at the embassy.,Työskentelen suurlähetystössä.
2227,Tom is interested.,Tomi on kiinnostunut.
2228,Everyone was surprised.,Kaikki yllättyivät.
2229,Tom's not at all sure who he should talk to.,Tom ei ole ollenkaan varma kenelle hänen kannattaisi puhua.
2230,You are handsome.,Olet komea.
2231,We live in a beautiful city.,Asumme kauniissa kaupungissa.
2232,How long have you known Jim Robinson?,Kuinka kauan olet tuntenut Jim Robinsonin?
2233,He smiled.,Hän hymyili.
2234,There's nothing to lose.,Ei ole mitään menetettävää.
2235,Something is wrong here.,Täällä on jotain vialla.
2236,Tom tried to help his parents.,Tomi yritti auttaa vanhempiaan.
2237,Tom is obviously in trouble.,Tom on mitä ilmeisemmin vaikeuksissa.
2238,They're very practical.,Ne ovat todella käytännöllisiä.
2239,"It snows a lot in Hokkaido, doesn't it?","Hokkaidolla sataa paljon lunta, vai?"
2240,You have good taste in music.,Sinulla on hyvä musiikkimaku.
2241,The pain is gone.,Kipu on poissa.
2242,This is not important.,Tämä ei ole tärkeää.
2243,Who thinks so?,Kuka niin ajattelee?
2244,Tom wants to tell you something important.,Tomi haluaa kertoa sinulle jotain tärkeää.
2245,Women want to have sex too.,Naisetkin haluavat seksiä.
2246,Tom wrote a letter to Santa Claus.,Tomi kirjoitti kirjeen Joulupukille.
2247,Her French is not fluent.,Hänen ranskansa ei ole sujuvaa.
2248,Tom's house has a tower.,Tomin talossa on torni.
2249,Watch your back.,Ole varuillasi.
2250,Don't waste your time doing that.,Älä kuluta aikaa tuommoisen tekemiseen.
2251,It was a complete success.,Se oli täydellinen menestys.
2252,You're very emotional.,Sinä olet todella herkkätunteinen.
2253,This is off-topic. Sorry.,Tää menee ohi aiheen. Sori.
2254,Tom didn't write back.,Tom ei kirjoittanut takaisin.
2255,I am in Rome.,Minä olen Roomassa.
2256,I don't recognize him.,En tunnista häntä.
2257,Your record is good.,Ennätyksesi on hyvä.
2258,Tom and Mary are right behind John.,Tom ja Mari ovat aivan Jonin takana.
2259,The Earth is under attack by alien invaders.,Avaruusoliot hyökkäävät Maahan.
2260,Tom is probably sleeping.,Tom on todennäköisesti nukkumassa.
2261,Shall we begin?,Aloitetaanko?
2262,The engine won't start.,Moottori ei käynnisty.
2263,You put too much sugar in your tea.,Sinä panet liikaa sokeria teehesi.
2264,I'm no longer depressed.,En ole enää masentunut.
2265,I am beginning to like Ken little by little.,Alan vähitellen pitää Kenistä.
2266,"Besides fruit, we're going to have ice cream.",Paitsi hedelmiä meillä tulee olemaan jäätelöä.
2267,The actress looks younger than she really is.,Näyttelijär näyttää nuoremmalta kuin mitä hän oikeasti on.
2268,Are you a fan?,Oletko fani?
2269,My laptop has been running so slow lately.,Läppärini on toiminut tosi hitaasti viime aikoina.
2270,They're sympathetic.,He ovat myötämielisiä.
2271,You'll never know unless you try.,"Sitä ei saa ikinä tietää, jos ei yritä."
2272,It's on the eighth floor.,Se on kahdeksannessa kerroksessa.
2273,The mass used to be said in Latin.,Messu oli tapana toimittaa latinaksi.
2274,Tom's busy.,Tomi on kiireinen.
2275,How do you usually decide what to eat?,Miten tavallisesti päätät mitä syödä.
2276,I resign.,Eroan.
