,english,russian
1916,I'll take the yellow one.,Я возьму жёлтое.
1917,We have a very serious problem here.,У нас тут очень серьёзная проблема.
1918,I saw you there.,Я вас там видела.
1919,You're useless.,Ты бесполезна.
1920,I don't like it when Tom borrows money from me.,"Я не люблю, когда Том занимает у меня деньги."
1921,I know her from work.,Мы с ней знакомы по работе.
1922,I'll need a loan.,Мне понадобится заём.
1923,Put the book there.,Положите книгу туда.
1924,Tom says he needs to talk with you.,"Том говорит, что ему нужно поговорить с тобой."
1925,Pass me that notebook.,Передай мне тот блокнот.
1926,I thought you'd be interested to know that Tom found a job.,"Я подумал, тебе будет интересно знать, что Том нашёл работу."
1927,The train was delayed for an hour.,Поезд задержали на час.
1928,Are you young?,Ты молод?
1929,That's not really the point.,Дело не совсем в этом.
1930,Give it to whoever needs it.,"Отдай это тому, кто в этом нуждается."
1931,Tom didn't answer any of my questions.,Том не ответил ни на один из моих вопросов.
1932,I can't bear living alone.,Мне невыносимо жить одному.
1933,This is very unusual.,Это очень необычно.
1934,It's entirely up to you which one you may choose.,Выбирай сам.
1935,I've asked you this question before.,Я уже задавал тебе этот вопрос.
1936,I'm very upset.,Я очень огорчён.
1937,"I like music, especially classical music.","Я люблю музыку, особенно классическую."
1938,Someone's taken my umbrella.,Кто-то взял мой зонт.
1939,I saw Tom in Boston last week.,Я на прошлой неделе видел Тома в Бостоне.
1940,I know what to expect now.,"Я знаю, чего теперь ждать."
1941,Tom watched the squirrel jump from branch to branch.,"Том смотрел, как белка прыгает с ветки на ветку."
1942,I'm heading to the gym.,Я направляюсь в спортзал.
1943,I don't worry about those things.,Я о таких вещах не беспокоюсь.
1944,Work makes life sweet.,Труд делает жизнь слаще.
1945,I live and work here.,Я живу и работаю здесь.
1946,Mom is now in heaven.,Мама теперь на небесах.
1947,You're so stuck up.,Ты такой самодовольный.
1948,This substance is in gaseous state.,Это вещество находится в газообразном состоянии.
1949,Stalin was the father of all peoples - in his own unhealthy imagination.,Сталин был отцом всех народов — в своей больной фантазии.
1950,I don't want to hear any more excuses.,Я больше не хочу слышать никаких оправданий.
1951,I love the way you treat me.,"Мне нравится, как вы относитесь ко мне."
1952,We have a deadline.,У нас есть дедлайн.
1953,Tom looked inside.,Том посмотрел внутрь.
1954,Tokyo is bigger than Rome.,Токио крупнее Рима.
1955,You must consider it before you answer.,"Ты должен подумать, прежде чем отвечать."
1956,She's my sister's friend.,Она подруга моей сестры.
1957,He said he'd be back.,"Он сказал, что ещё придёт."
1958,See with your ears.,Смотри ушами.
1959,Mary is checking her messages on her phone.,Мэри проверяет сообщения у себя в телефоне.
1960,"You've quit smoking, right?","Ты бросил курить, верно?"
1961,Tom was fired last October.,Том был уволен в прошлом октябре.
1962,Tom asked us not to make any noise.,Том попросил нас не шуметь.
1963,Tom started learning Arabic for fun.,Том начал учить Арабский ради веселья.
1964,He says he didn't see anything.,"Он говорит, что ничего не видел."
1965,Didn't you know Tom was in Boston last week?,"Вы не знали, что Том был на прошлой неделе в Бостоне?"
1966,He met an unexpected obstacle.,Он столкнулся с неожиданным препятствием.
1967,"You were at home yesterday, weren't you?",Вы ведь вчера дома были?
1968,I think it's going well.,"Думаю, всё идёт хорошо."
1969,Tom was living in Australia back then.,Том тогда жил в Австралии.
1970,What time is it by your clock?,Который у вас час?
1971,I saw one many times.,Я много раз такой видел.
1972,"Without his glasses, Sami can't see anything in front of his nose.",Без очков Сами дальше собственного носа ничего не видит.
1973,I've had a bad day.,У меня был плохой день.
1974,He said that he isn't sleepy yet.,"Он сказал, что ему пока не хочется спать."
1975,Fadil told police everything.,Фадель всё рассказал полиции.
1976,I hoped Tom wouldn't win.,"Я надеялся, что Том не выиграет."
1977,What time did you wake up this morning?,Во сколько вы сегодня утром проснулись?
1978,I don't mind your staying here.,"Я не против, чтобы ты здесь остался."
1979,I'm just being careful.,Я просто стараюсь быть осторожным.
1980,It's going to take some time.,Это займёт какое-то время.
1981,Her nails are red.,У неё красные ногти.
1982,Do you get up early in the morning?,Ты по утрам рано встаёшь?
1983,I want to protect Tom.,Я хочу защитить Тома.
1984,He is one of my neighbors.,Он один из моих соседей.
1985,He is hounding me to find out where you are.,"Он допытывается у меня, где ты."
1986,Why does this matter?,Почему это так важно?
1987,Let's go to lunch.,Пойдём на обед.
1988,I am yours and you are mine.,"Я ваш, а вы мои."
1989,"If Tom hadn't invited me, I wouldn't have come.","Если бы Том меня не пригласил, я бы не пришла."
1990,She got over the shock of her father's death.,Она оправилась от шока после смерти отца.
1991,Tom isn't feeling very well.,Том не очень хорошо себя чувствует.
1992,Do you know how they knew?,"Вы знаете, откуда они узнали?"
1993,I should have told the truth.,Мне надо было сказать правду.
1994,I like people who are not afraid to grow old.,"Мне нравятся люди, которые не боятся стареть."
1995,It's only going to get worse now.,Теперь всё будет только хуже.
1996,There's nothing I can do to help Tom.,"Я ничего не могу сделать, чтобы помочь Тому."
1997,Express yourself as clearly as you can.,Вырази себя как можно более ясно.
1998,Put it over there.,Поставьте её вон там.
1999,Tom advised Mary not to do it.,Том посоветовал Мэри не делать этого.
2000,You accused her of having stolen the bike.,Ты обвинил её в краже велосипеда.
2001,She works in a call center.,Она работает в колл-центре.
2002,I thought you were at work.,"Я думал, ты на работе."
2003,Are you watching TV today?,Вы сегодня смотрите телевизор?
2004,You've got a good idea.,Это ты хорошо придумал.
2005,We can deliver within a week.,Мы можем совершить доставку в течение недели.
2006,Tom wasn't thirsty.,Фома не хотел пить.
2007,I'm afraid that something is wrong with Tom.,"Я боюсь, что-то не так с Томом."
2008,Tom doesn't like living alone.,Тому не нравится жить одному.
2009,Did Tom ask Mary about me?,Том спрашивал Мэри обо мне?
2010,The child slept on its mother's lap.,Ребёнок спал на коленях у матери.
2011,It's cold outside.,Снаружи холодно.
2012,You are exactly like your mother.,Ты в точности как твоя мать.
2013,Tom has shaved off his mustache.,Том сбрил усы.
2014,I don't understand why I needed to do that.,"Я не понимаю, почему мне нужно было это делать."
2015,Tom lived in Australia.,Том жил в Австралии.
2016,What did Tom discover?,Что Том обнаружил?
2017,Tom doesn't have any bad habits.,У Тома нет плохих привычек.
2018,I don't know where Tom bought his umbrella.,"Я не знаю, где Том купил свой зонтик."
2019,Tom gave no other details.,Больше никаких подробностей Том не сообщил.
2020,Don't tell me how to spend my money.,"Не говори мне, как мне тратить свои деньги."
2021,I didn't understand the question.,Я не понял вопрос.
2022,"According to the weather forecast, it will clear up tomorrow.","Согласно прогнозу, погода завтра прояснится."
2023,"Even though I studied French for three years in school, I'm not good at speaking it.","Хотя я изучал французский в школе в течение трёх лет, я всё равно не особо хорошо на нём говорю."
2024,Every recycled aluminium can saves enough energy to power a TV for three hours.,"Каждая переработанная алюминиевая банка сохраняет столько энергии, что её достаточно для работы телевизора на протяжении трёх часов."
2025,Are you going to go to Tokyo tomorrow?,Ты завтра едешь в Токио?
2026,Do I have to pay in advance?,Я должен заплатить вперёд?
2027,I'll buy a new one.,Куплю новый.
2028,Esperanto can stop wars.,Эсперанто может остановить войны.
2029,I know that you won't be able to do that.,"Я знаю, что ты не сможешь это сделать."
2030,I told Tom to leave.,Я велел Тому уйти.
2031,Tom raised his glass to his lips.,Том поднёс стакан к губам.
2032,What is your nationality?,Кто вы по национальности?
2033,I like to learn new things.,Я люблю изучать что-нибудь новое.
2034,Did Tom ever hurt you?,Том бил тебя вообще?
2035,I hope I can help you.,"Надеюсь, что смогу помочь тебе."
2036,Tom came to save me.,Том пришёл меня спасать.
2037,Nancy has a piano.,У Нэнси есть фортепиано.
2038,The worth of a thing is best known by the want of it.,"Что имеем — не храним, потерявши — плачем."
2039,He went to bed.,Он отправился в постель.
2040,Tom told Mary about John.,Том рассказал Мэри о Джоне.
2041,We lost our way.,Мы заблудились.
2042,I didn't know you were back in town.,"Я не знал, что ты вернулся в город."
2043,Tom and I were discussing that just yesterday.,Мы с Томом как раз вчера это обсуждали.
2044,He plays chess.,Он играет в шахматы.
2045,Can you ski?,Вы умеете кататься на лыжах?
2046,I need to see you in person.,Мне нужно встретиться с тобой лично.
2047,I told you never to call me again.,"Я же говорил вам, чтобы вы мне больше не звонили."
2048,"For the first time in her life, Yuka has finished reading an English book.",Впервые в жизни Юка прочла книгу на английском языке.
2049,We need to get rid of him.,Нам необходимо от него избавиться.
2050,I saw Tom in church today.,Сегодня в церкви я видел Тома.
2051,Tom has friends who can help him.,"У Тома есть друзья, которые могут ему помочь."
2052,I wasn't at that meeting.,Меня не было на той встрече.
2053,He eats slowly.,Он ест медленно.
2054,Your room's ready.,Ваш номер готов.
2055,I looked.,Я посмотрел.
2056,Is it broken?,Она сломана?
2057,Tom isn't as smart as you.,"Том не так умён, как ты."
2058,We should talk to them.,Нам надо с ними поговорить.
2059,People like to talk.,Люди любят поговорить.
2060,I don't think Tom would be glad if that happened.,"Не думаю, что Том бы был рад, если бы это произошло."
2061,It explains a lot.,Это многое объясняет.
2062,She doesn't like living downtown.,Ей не нравится жить в центре города.
2063,Do you have anything to remove stains?,У вас есть чем вывести пятна?
2064,I have nothing to apologize for.,Мне не за что извиняться.
2065,Just sign here.,Просто подпишитесь здесь.
2066,I didn't want you to miss your bus.,"Я не хотел, чтобы ты опоздал на свой автобус."
2067,Go and talk to Tom.,Пойди поговори с Томом.
2068,Why are you going back to Boston?,Почему вы возвращаетесь в Бостон?
2069,Somebody could be watching us.,За нами могут наблюдать.
2070,There's no point in getting upset.,Нет причин для беспокойства.
2071,He plays tennis three times a week.,Он играет в теннис трижды в неделю.
2072,"I'm fine. ""No, you're not.""","«Я в порядке». – «Нет, не в порядке»."
2073,Tom ought not do that.,Тому не следовало этого делать.
2074,Where did you lose your umbrella?,Где вы потеряли свой зонтик?
2075,I'm in a safe place now.,Сейчас я в безопасном месте.
2076,I had a really great time tonight.,Я отлично провёл эту ночь.
2077,I wasn't aggressive enough.,Я не был достаточно агрессивен.
2078,The world is full of problems.,Мир полон проблем.
2079,Tom went to the circus with Mary.,Том пошёл в цирк с Мэри.
2080,Wash your hands before you eat.,Помойте руки перед едой.
2081,Now I have to find him.,Теперь я должен его найти.
2082,Tom kissed Mary and she slapped him.,"Том поцеловал Мэри, и она дала ему пощёчину."
2083,Tom kissed Mary gently.,Том нежно поцеловал Мэри.
2084,The moon is shining.,Луна сияет.
2085,We were all very moved.,Мы все были очень тронуты.
2086,People often enter into a relationship thinking that they can change the other person.,"Люди часто вступают в отношения, думая, что могут изменить другого человека."
2087,Do that again.,Сделай ещё раз.
2088,What is she talking about?,О чём она говорит?
2089,Tom told Mary that he'd kissed Alice.,"Том сказал Мэри, что он поцеловал Элис."
2090,I pointed at him.,Я указал на него.
2091,The train was late because of an accident.,Поезд опоздал из-за аварии.
2092,Tom was killed by a stray bullet.,Том был убит шальной пулей.
2093,I need some of your time.,Мне нужно немного вашего времени.
2094,Does anyone see a difference?,Кто-нибудь видит разницу?
2095,I asked Tom if he needed more time.,"Я спросил Тома, нужно ли ему больше времени."
2096,Is it far?,Это далеко?
2097,It would be possible.,Это было бы возможно.
2098,Tom doesn't like mashed potatoes.,Том не любит пюре.
2099,We've finally reached the summit.,Мы наконец достигли вершины.
2100,Mary overslept again.,Мэри опять проспала.
2101,I was framed.,Меня подставили.
2102,"Why does Tom call me Mary? ""Isn't your name Mary?"" ""No, it's Maria.""","Почему Том называет меня Мэри? - ""А тебя разве не Мэри зовут?"" - ""Нет, Мария""."
2103,I've lost count of how many times you've helped me.,"Я сбился со счёта, сколько раз ты мне помог."
2104,"Tom lives near you, doesn't he?",Том ведь рядом с вами живёт?
2105,We have a signed agreement.,У нас подписано соглашение.
2106,Tom ran out of food.,У Тома закончилась еда.
2107,How many times have I told you to fold your clothes?,Сколько раз я тебе говорила складывать свою одежду?
2108,Please go to the airport.,"Поезжайте в аэропорт, пожалуйста."
2109,You and I both know that that's not going to happen.,"Мы с тобой обе знаем, что этого не будет."
2110,Volunteers are needed.,Нужны добровольцы.
2111,The huge explosion killed six people.,Большой взрыв убил шесть человек.
2112,I never saw Tom.,Я никогда не видела Тома.
2113,You remind me of my mother.,Ты напоминаешь мне мою мать.
2114,I know what Tom is doing here.,"Я знаю, что Том здесь делает."
2115,That day was an important milestone in our project.,Тот день стал важной вехой в истории нашего проекта.
2116,You are pregnant.,Вы беременны.
2117,Tom drove over a bump.,Том наехал на бугор.
2118,I don't care who you are.,"Мне неважно, кто ты."
2119,He has earned a lot of money.,Он заработал кучу денег.
2120,Who are you selling your car to?,Кому вы продаёте свой автомобиль?
2121,I'd like to go there someday.,Я бы хотел как-нибудь сходить туда.
2122,No one is doing anything.,Никто ничего не делает.
2123,Let the game begin!,Пусть игра начнётся!
2124,I've heard it said that it's harder to please a woman than to please a man. I wonder if that's true.,"Я слышал, что женщине труднее доставить удовольствие, чем мужчине. Мне интересно, правда ли это."
2125,You always say that.,Ты всегда так говоришь.
2126,She showed me a letter written in English.,"Она показала мне письмо, написанное на английском языке."
2127,"Tom likes playing tennis, but I don't.","Том любит играть в теннис, а я нет."
2128,Tom noticed the mistake and corrected it.,Том заметил ошибку и исправил её.
2129,"As a matter of fact, bankruptcy is inevitable.","Фактически, банкротство неизбежно."
2130,He has no choice.,У него нет выбора.
2131,What's really bothering him?,Что его на самом деле беспокоит?
2132,Does Tom have a choice?,У Тома есть выбор?
2133,I believe it.,Я верю в это.
2134,"Since it's raining, I'd better go home.","Так как идёт дождь, я, пожалуй, пойду домой."
2135,She's worried about your safety.,Она волнуется за твою безопасность.
2136,I saw your brother the other day.,Я недавно видел твоего брата.
2137,Ask Tom to apologize to Mary.,"Попроси Тома, чтобы он извинился перед Мэри."
2138,What's your phone number?,Какой у вас телефон?
2139,Who owns this property?,Кому принадлежит это имущество?
2140,Who won the Superbowl?,Кто выиграл Суперкубок?
2141,Let's play a game.,Сыграем в игру.
2142,I asked them to fix my car.,Я попросила их отремонтировать мою машину.
2143,I wanted to know where the voice was coming from.,"Я хотел знать, откуда идёт голос."
2144,Tom was detained by the police.,Том был задержан полицией.
2145,Tom and I haven't seen each other since our divorce.,"Мы с Томом не виделись с тех пор, как развелись."
2146,Do you really have to tell him?,Вам обязательно ему говорить?
2147,Tom is the best basketball player I've ever seen.,"Том - лучший баскетболист, которого я когда-либо видел."
2148,We're going to survive.,Мы выживем.
2149,Did you bring the book?,Вы принесли книгу?
2150,The papers didn't print this story.,Газеты не опубликовали эту историю.
2151,More people came to the party than I had bargained for.,"На вечеринку пришло больше народа, чем я рассчитывал."
2152,The teacher kicked me out of class.,Учитель выгнал меня из класса.
2153,"Since I'm unemployed, I can't save up anything.","Поскольку я безработный, я не могу откладывать деньги."
2154,Don't let him scream.,Не позволяйте ему кричать.
2155,Tom is a talented chess player.,Том - талантливый шахматист.
2156,Which one will you choose?,Какую вы выберете?
2157,Stay with us.,Останься с нами.
2158,How many inches are there in a foot?,Сколько дюймов в футе?
2159,Their oldest sister still hasn't gotten married.,Самая старшая их сестра всё ещё не замужем.
2160,Look around you.,Посмотрите вокруг себя.
2161,"That surprised me, too.",Меня это тоже удивило.
2162,I've never seen one.,Я никогда такой не видел.
2163,Yoko translated some poems from Japanese into English.,Йоко перевела несколько стихотворений с японского на английский.
2164,"As soon as our manager got off our backs, everything started to go off without a hitch.","Как только наш менеджер перестал нас беспокоить, всё пошло без малейших затруднений."
2165,Who'd kiss Tom?,Кто бы поцеловал Тома?
2166,It's what you deserve.,Ты этого и заслуживаешь.
2167,How much will it cost?,Сколько это будет стоить?
2168,I'll never make it.,У меня никогда не получится.
2169,Tom asked Mary about the traffic accident she was involved in when she was five years old.,"Том спросил Мэри об аварии, в которую она попала в 5 лет."
2170,Tom told me he isn't sleepy yet.,"Том сказал мне, что он ещё не хочет спать."
2171,There was no one there but him.,"Там никого не было, кроме него."
2172,Tom has a busy day tomorrow.,У Тома завтра насыщенный день.
2173,I thought he would come alone.,"Я думал, он придёт один."
2174,How much jam did you buy?,Сколько джема ты купил?
2175,My pen is new.,Моя ручка новая.
2176,It's nothing personal.,Ничего личного.
2177,"No matter how busy you are, you have to do your homework.","Как бы заняты вы ни были, вы обязаны выполнять домашнюю работу."
2178,I think I can arrange that.,"Думаю, я могу это устроить."
2179,Tom has been put in jail.,Тома посадили в тюрьму.
2180,I just did what you asked me to do.,"Я просто сделал то, о чём ты меня попросил."
2181,Do you often talk to yourself?,Ты часто разговариваешь сама с собой?
2182,I've made a complaint.,Я написал жалобу.
2183,He remains at liberty.,Он остаётся на свободе.
2184,I like the way Mary smiles.,Мне нравится улыбка Мэри.
2185,Do you have one?,У тебя есть один?
2186,Tom is pessimistic.,Том пессимист.
2187,Tom likes this.,Тому это нравится.
2188,It was yesterday evening when it began to rain.,Дождь начался вчера вечером.
2189,Who do you like more?,Кто вам больше нравится?
2190,I've never worked with Tom.,Я никогда не работал с Томом.
2191,Decide already!,Решайте уже!
2192,Where are your credit cards?,Где твои кредитные карты?
2193,He tried to open the window.,Он попытался открыть окно.
2194,Tom's home was swallowed by a sinkhole.,Дом Тома был поглощен карстовой воронкой.
2195,What's in the closet?,Что в шкафу?
2196,My mother hates to watch the television.,Моя мама ненавидит смотреть телевизор.
2197,Why didn't you help her?,Почему вы не помогли ей?
2198,I haven't quite decided.,Я ещё не совсем решил.
2199,Tom got home.,Том добрался домой.
2200,You know we owe them a lot.,"Вы знаете, мы многим им обязаны."
2201,Kim is four years older than I am.,Ким на четыре года старше меня.
2202,My homework was easier than I expected.,"Моё домашнее задание оказалось легче, чем я ожидал."
2203,I don't know whether you are telling the truth or not.,"Уж не знаю, говорите ли вы правду или нет."
2204,Can they try?,Они могут попробовать?
2205,Tom came three days ago.,Том приехал три дня назад.
2206,I regret not having bought that house.,"Я жалею, что не купил тот дом."
2207,"In the first years that Coca-Cola was produced, it contained cocaine. In 1914, cocaine was classified as a narcotic, after which they used caffeine instead of cocaine in the production of Coca-Cola.","В первые годы производства, Coca-Cola содержала кокаин. В 1914 году кокаин был классифицирован как наркотик, после чего при производстве Coca-Cola вместо него стали использовать кофеин."
2208,She passed the examination.,Она сдала экзамен.
2209,I've just finished dinner.,Я только что поужинал.
2210,I'm talking to you as a friend.,Я говорю с тобой как друг.
2211,I'm not sure I trust you.,"Я не уверен, что доверяю тебе."
2212,He's quite a nice fellow but I don't like him.,"Он хороший парень, но мне не нравится."
2213,Tom was better than me.,Том был лучше меня.
2214,Tom and I understand each other.,Мы с Томом понимаем друг друга.
2215,"Dentists recommend to change toothbrushes every three months, because over time their bristles become worse at getting rid of plague, as well as accumulate microbes.","Стоматологи рекомендуют менять зубную щётку каждые три месяца, потому что со временем её щетина всё хуже удаляет зубной налёт, а также в ней скапливаются микробы."
2216,Tom knew who Mary had decided to give her old guitar to.,"Том знал, кому Мэри решила отдать свою старую гитару."
2217,Tom killed himself.,Том покончил с собой.
2218,I want to go over to France.,Я хочу отправиться во Францию.
2219,Father drives to work.,Отец ездеет на работу.
2220,Does your father know about this?,Ваш отец об этом знает?
2221,I have to assign more men to that work.,Я вынужден выделить еще людей на данную работу.
2222,He didn't die in vain.,Он погиб не напрасно.
2223,It's not believable.,В это невозможно поверить.
2224,Greed is the root of all evil.,Жадность — корень всех зол.
2225,"Tom never said that, as far as I know.","Том никогда этого не говорил, насколько мне известно."
2226,Tom will deliver the message.,Том доставит сообщение.
2227,Are you hungry now?,Ты сейчас голоден?
2228,Tom and I live on different floors.,Мы с Томом живём на разных этажах.
2229,Let her finish.,Дай ей закончить.
2230,Tom and Mary miss their parents.,Том и Мэри скучают по родителям.
2231,That baby is Tom.,Тот малыш - Том.
2232,Why did you come here?,Зачем ты сюда пришла?
2233,Open the gate.,Отворяй ворота.
2234,Sami lived in an opulent mansion in Cairo.,Сами жил в роскошном дворце в Каире.
2235,He seems angry.,"Он, кажется, зол."
2236,Don't worry. It won't take very long.,Не волнуйтесь. Это не займёт много времени.
2237,What is it like living in Germany?,Каково это — жить в Германии?
2238,Tom lives in a large house.,Том живёт в большом доме.
2239,Didn't you know Tom was interested in modern art?,"Вы не знали, что Том интересуется современным искусством?"
2240,She's too loud.,Она слишком шумная.
2241,Tom thinks you're lying.,"Том думает, что ты лжёшь."
2242,Notice how the player uses his elbows.,"Обратите внимание на то, как игрок использует локти."
2243,There's nothing to worry about.,Беспокоиться не о чем.
2244,What were you doing yesterday?,Что ты делал вчера?
2245,I'm sorry if I scared you.,"Простите, если напугала."
2246,I love you both.,Я люблю вас обоих.
2247,She remarried when she was in her mid-forties.,"Она повторно вышла замуж, когда ей было за сорок."
2248,She says she likes to win.,"Она говорит, что любит выигрывать."
2249,Mary opened her suitcase.,Мэри открыла чемодан.
2250,You're a snob.,Вы сноб.
2251,You're just the person we've been looking for.,"Ты именно тот, кого мы ищем."
2252,Do you know Tom's girlfriend's name?,"Вы знаете, как зовут девушку Тома?"
2253,Will you do that?,Ты это сделаешь?
2254,She knows everything about French.,Она всё знает про французский.
2255,Tom is a daredevil.,Том — безрассудный смельчак.
2256,Tom started to take off his jacket.,Том начал снимать куртку.
2257,The police are looking for her.,Её ищет полиция.
2258,Tom enjoyed school.,Тому нравилось в школе.
2259,I met an elderly woman.,Я встретил одну пожилую женщину.
2260,Can I try one more?,Можно мне ещё одну попробовать?
2261,They all raised their glasses.,Все подняли бокалы.
2262,Do you want the same thing to happen to Tom?,"Вы хотите, чтобы с Томом случилось то же самое?"
2263,They have another plan.,У них есть другой план.
2264,You're the one who hired Tom.,Это ты нанял Тома.
2265,Tom painted the doors blue.,Том покрасил двери в синий.
2266,We named the boat the Half Moon.,"Мы назвали лодку ""Полумесяц""."
2267,I swim almost every day.,Я плаваю почти каждый день.
2268,I forgot to tell you how to do that.,"Я забыл сказать тебе, как это делать."
2269,She just got home.,Она только что пришла домой.
2270,Tom doesn't agree.,Том не согласен.
2271,Tom sent me a Christmas gift.,Том отправил мне рождественский подарок.
2272,I'll shine your shoes.,Я почищу тебе ботинки.
2273,You're new here.,Ты здесь человек новый.
2274,Maybe I missed something.,"Быть может, я что-то упустил."
2275,Don't take out anything from the bag.,Не доставайте ничего из сумки.
2276,Tom doesn't even have a driver's license.,У Тома даже нет водительских прав.
2277,They are chiseling a statue out of marble.,Они ваяют статую из мрамора.
2278,Do you know what's going on here?,"Вы знаете, что здесь происходит?"
2279,Tom! What are you doing?,Том! Что ты делаешь?
2280,Where is the bus terminal?,Где находится автобусная остановка?
2281,Where do I begin?,Откуда мне начинать?
2282,We trust you.,Мы тебе доверяем.
2283,I totally agree with her.,Я полностью с ней согласен.
2284,Her derogatory remarks towards her boss caused her to lose her job.,Её пренебрежительные замечания в адрес своего начальника стоили ей работы.
2285,I bought it.,Я её купил.
2286,Tom started to sing.,Том запел.
2287,Why did you agree to do that?,Почему ты согласился это сделать?
2288,Answer in English.,Отвечай по-английски.
2289,I'm going to talk to Tom when he returns home.,"Я собираюсь поговорить с Томом, когда он вернётся домой."
2290,Come in.,Зайди.
2291,There is no situation that is without hope.,Безвыходных положений не бывает.
2292,I thought that Tom was still living in Boston.,"Я думал, Том так и живёт в Бостоне."
2293,Boston is a wonderful place.,Бостон — чудесное место.
2294,Tom told me that Mary was tired.,"Том сказал мне, что Мэри устала."
2295,Tom is probably still up.,"Том, наверное, ещё не лёг."
2296,Tomorrow is a holiday.,Завтра выходной.
2297,You need to try this cake.,Тебе нужно попробовать этот торт.
2298,I'm sorry! - It's OK. Don't worry.,"Прости! - ""Ничего. Не парься""."
2299,I saw you give it to him.,"Я видел, как ты ему её дал."
2300,Tom liked Mary as soon as he met her.,"Мэри понравилась Тому сразу, как только он её встретил."
2301,I've decided not to live in Australia.,"Я решил, что не буду жить в Австралии."
2302,I have something in my suitcase for you.,У меня в чемодане для тебя кое-что есть.
2303,Tom is beginning to lose his hair.,Том начинает лысеть.
2304,"If it were not for your help, I could not run this store.","Если бы не твоя помощь, я бы не смог управиться с этим магазином."
2305,It's only a three-hour flight.,Туда всего три часа лететь.
2306,Things like this don't usually happen.,Такого обычно не бывает.
2307,My money was stolen.,Мои деньги были украдены.
2308,I knew you wouldn't want to do that.,"Я знал, что вы не захотите этого делать."
2309,Some religious people can be very judgmental.,Религиозные люди бывают весьма резки в суждениях.
2310,Who is playing the piano in the living room?,Кто играет на пианино в гостиной?
2311,It's one of the most beautiful cities in the world.,Это один из красивейших городов мира.
2312,I was ready to go.,Я был готов к выходу.
2313,This box is made of paper.,Эта коробка сделана из бумаги.
2314,This is a new model.,Это новая модель.
2315,Can't you do it?,Ты не можешь этого сделать?
2316,Tom didn't want to talk about that.,Том не хотел об этом говорить.
2317,Which one is cheaper?,Какая дешевле?
2318,"Take the books away from the table, please.","Убери книги со стола, пожалуйста."
2319,I live on a farm.,Я живу на ферме.
2320,I'll take Tom home.,Я отвезу Тома домой.
2321,Neither Tom nor Mary will do that.,"Ни Том, ни Мэри не будут этого делать."
2322,I was too scared to do anything.,"Я был так испуган, что ничего не мог сделать."
2323,Is it really Tom?,Это правда Том?
2324,Everybody loved her.,Все её любили.
2325,I didn't like Boston at all.,Бостон мне совсем не понравился.
2326,Tom never told me he used to be married to Mary.,"Том никогда не говорил мне, что был женат на Мэри."
2327,What vegetables do you like?,Какие овощи вы любите?
2328,"He saw it, too.",Он тоже это видел.
2329,That's just stupid.,Это просто глупо.
2330,It was Tom who taught me how to do this.,"Это Том научил меня, как это делается."
2331,The heavy snowfall blocked the roads.,Сильный снегопад заблокировал дороги.
2332,I forgot my pencil.,Я свой карандаш забыл.
2333,John and Ann like each other.,Джон и Энн нравятся друг другу.
2334,I need new tires.,Мне нужны новые шины.
2335,Close your eyes when you listen to music.,"Закройте глаза, когда слушаете музыку."
2336,We can take you to Boston.,Мы можем отвезти вас в Бостон.
2337,She said she was in a hurry.,"Она сказала, что спешит."
2338,My mother took me to the park.,Мама сводила меня в парк.
2339,How many apple trees are there in your orchard?,Сколько яблонь у вас в саду?
2340,I assume you're in a hurry.,"Я думаю, вы спешите."
2341,We have important work to do.,У нас есть важная работа.
2342,I think it necessary for him to go there.,"Думаю, ему необходимо туда поехать."
2343,I said show me that.,"Я сказал, покажи мне это."
2344,You said that an hour ago.,Ты час назад это говорил.
2345,A storm is brewing.,Надвигается шторм.
2346,Tom will never understand.,Том никогда не поймёт.
2347,I devour one detective story after another.,Я проглатываю детективные романы один за другим.
2348,You need to wait for them.,Вам нужно их подождать.
2349,Maybe you're right.,"Может быть, вы правы."
2350,He can play the flute.,Он умеет играть на флейте.
2351,Are you going to call him?,Вы будете ему звонить?
2352,They said they'd been careful.,"Они сказали, что были осторожны."
2353,It is windy today.,Сегодня ветрено.
2354,I know I was wrong.,"Я знаю, что был не прав."
2355,What do you learn French for?,Для чего ты учишь французский?
2356,I don't know her.,Я с ней не знаком.
2357,It's raining hard.,Идёт сильный дождь.
2358,I want you to make me a promise.,"Я хочу, чтобы ты дала мне обещание."
2359,They crawled out of the cave.,Они выползли из пещеры.
2360,Thirteen firefighters were injured.,Тринадцать пожарных пострадало.
2361,The truth shall be revealed to you.,Правда откроется тебе.
2362,Don't leave everything to chance.,Не пускайте всё на самотёк.
2363,Tom looks nothing like me.,Том ничуть не похож на меня.
2364,Water expands when it freezes.,Вода при замерзании расширяется.
2365,Those who violate the rules will be punished.,"Те, кто нарушает правила, будут наказаны."
2366,What's new this year?,Что нового в этом году?
2367,Here the fall came.,Вот и осень настала.
2368,Why didn't you listen to him?,Почему ты его не послушал?
2369,She doesn't know her father.,Она не знает своего отца.
2370,The school is within walking distance of my house.,Школа находится в нескольких минутах ходьбы от моего дома.
2371,I may indeed be wrong.,"Может быть, я не прав."
2372,I'm not sure who did that.,"Я точно не знаю, кто это сделал."
2373,Usually I don't buy anything on the Internet.,Я обычно ничего не покупаю через Интернет.
2374,Tell Tom I'm not home.,"Скажи Тому, что меня нет дома."
